species_sample,compound_number,TIC
M4_1689,71,5407.290710
M4_1689,76,9626.688263
M4_1689,78,12556.809937
M4_1689,79,23111.523743
M4_1689,80,1212.208801
M4_1689,81,2054.923218
M4_1689,82,74817.661133
M4_1689,95,38804.771484
M4_1689,96,20798.072968
M4_1689,97,17748.117889
M4_1689,102,6454.313934
M4_1689,103,5224.316116
M4_1689,104,18530.547119
M4_1689,110,16389.170166
M4_1689,111,21868.701233
M4_1689,113,1681.837463
M4_1689,118,16093.826599
M4_1689,119,12292.089905
M4_1689,121,4364.055481
M4_1689,132,3366.684143
M4_1689,138,19190.436890
M4_1689,139,6651.161621
M4_1689,142,12338.804199
M4_1689,143,26265.242340
M4_1689,144,6655.255615
M4_1689,145,51066.786682
M4_1689,146,6683.176819
M4_1689,148,8011.879395
M4_1689,158,4253.596252
M4_1689,161,10700.541687
M4_1689,162,5345.373657
M4_1689,163,17842.776123
M4_1689,164,5519.615845
M4_1689,165,10190.328583
T69_1521,1,2681740.876633
T69_1521,3,519009.145828
T69_1521,6,598840.555237
T69_1521,7,76691.009048
T69_1521,8,1953615.854492
T69_1521,9,2137.026947
T69_1521,11,155265.606903
T69_1521,12,21434.700592
T69_1521,13,68620.590958
T69_1521,14,77537.341217
T69_1521,15,4399.812012
T69_1521,16,82371.665161
T69_1521,17,92478.412491
T69_1521,18,2729.536865
T69_1521,19,67181.796173
T69_1521,21,24916.535858
T69_1521,22,2112.409485
T69_1521,23,2729.536865
T69_1521,24,5344.035187
T69_1521,25,6815.417725
T69_1521,26,107740.605927
T69_1521,27,36245.521881
T69_1521,28,2571.836792
T69_1521,29,16687.829651
T69_1521,30,9719.225037
T69_1521,32,36458.621735
T69_1521,33,46184.029053
T69_1521,34,74780.462662
T69_1521,35,3131.942871
T69_1521,36,1857.841919
T69_1521,38,3591.188324
T69_1521,39,16853.793045
T69_1521,42,4098.787354
T69_1521,43,449584.680420
T69_1521,44,11251.084808
T69_1521,45,14334.114899
T69_1521,46,12989.991577
T69_1521,47,51171.253601
T69_1521,49,3841.108276
T69_1521,51,30505.965210
T69_1521,53,15230.106354
T69_1521,54,5852.057312
T69_1521,56,31913.160889
T69_1521,59,21881.666473
T69_1521,60,1717.406586
T69_1521,62,21351.862564
T69_1521,64,11349.671692
T69_1521,66,27363.880402
T69_1521,67,12257.880127
T69_1521,68,18348.294434
T69_1521,69,23115.296326
T69_1521,70,4438.912445
T69_1521,71,11268.204773
T69_1521,75,6971.632812
T69_1521,79,284.000000
T69_1521,82,37071.111877
T69_1521,83,23694.520752
T69_1521,86,9343.517700
T69_1521,87,5022.806458
T69_1521,88,4785.645386
T69_1521,89,3126.782104
T69_1521,90,3390.566833
T69_1521,92,6184.351654
T69_1521,93,13851.626587
T69_1521,98,26376.649414
T69_1521,100,13350.165741
T69_1521,104,38791.578094
T69_1521,105,20795.785522
T69_1521,107,198757.703979
T69_1521,108,3484.286530
T69_1521,110,19033.624634
T69_1521,112,3436.488892
T69_1521,114,3070.989746
T69_1521,115,3488.763519
T69_1521,116,10389.550812
T69_1521,117,32748.510986
T69_1521,118,6257.560730
T69_1521,119,2928.086182
T69_1521,121,5250.919983
T69_1521,122,31923.141357
T69_1521,123,26002.917999
T69_1521,124,26376.649414
T69_1521,126,32748.510986
T69_1521,127,5930.336853
T69_1521,129,7407.729675
T69_1521,130,5121.166931
T69_1521,132,5389.067230
T69_1521,133,3023.136047
T69_1521,135,3146.958069
T69_1521,140,40576.439453
T69_1521,141,29342.135498
T69_1521,143,4061.544128
T69_1521,145,33237.542603
T69_1521,146,3274.378540
T69_1521,147,4398.740356
T69_1521,149,13310.674622
T69_1521,150,17062.570801
T69_1521,152,4505.314575
T69_1521,153,4477.540466
T69_1521,158,6522.003540
T69_1521,159,17096.540466
T69_1521,161,2845.803497
T69_1521,162,5681.822723
T69_1521,166,11122.460114
T69_1521,167,5346.462708
